datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Seasonal,Weekday Name,Sales Price,Comp Price,Competitor2,Competitor3,Competitor4,Competitor5,MRP,Cost of Manufacturing,inflation rate,Demand Score,discount rate,Margin,Inventory levels,Govt regulations,Expiry days
1/2/2014,0,3.67,3.4,32.4,7,0,0,2,2014,1,Thursday,12.94,14.03,12.47,13.25,13.66,14.11,16.21,6.08,1.6,2,11,52.01,260,19.6,43
1/3/2014,8,4,4.4,50.6,16,0,20,4,2014,1,Friday,8.61,9.1,9.34,8.15,8.09,8.06,10.38,4.03,1.6,0.03,17,48.73,260,19.6,81
1/4/2014,2,1,6.5,61.85,10,0,9,1,2014,1,Saturday,10.58,9.71,11.02,9.77,10.06,11.5,13.09,4.78,1.6,9.27,12,53.33,252,19.6,84
1/5/2014,4,3,7,41.1,8,0,3,0,2014,1,Sunday,10.3,9.83,10.15,9.88,9.68,10.3,12.44,6.13,1.6,3.85,8,41.19,250,19.6,48
1/6/2014,5,1,4.5,21.7,16,2,6,2,2014,1,Monday,10.29,9.82,10.36,10.39,10.51,10.54,12.06,4.74,1.6,3.5,5,55.92,246,19.6,64
1/7/2014,0,0,0,0,0,0,0,0,2014,1,Tuesday,11.42,11.3,12.51,11.63,10.81,11.02,14.48,6.79,1.6,4.31,14,37.15,241,19.6,63
1/8/2014,5.33,3,10.5,26.4,19,1,10,0,2014,1,Wednesday,13.15,13.33,14.15,12.4,14.14,12.12,15.88,5.43,1.6,1.78,11,57.82,241,19.6,57
1/9/2014,7,1.68,8,25,16,0,3,2,2014,1,Thursday,9.91,10.46,10.43,9.41,8.99,9.24,11.61,5.91,1.6,4,6,42.32,235.67,19.6,33
1/10/2014,5,2,2,53.3,15,2,0,2,2014,1,Friday,11.05,11.38,11.72,10.74,10.12,10.42,13.4,5.15,1.6,6.24,16,49.56,228.67,19.6,46
1/11/2014,5,4.34,10.4,52.3,14,0,1,0.2,2014,1,Saturday,10.82,10.1,11.65,10.08,11.52,11.81,13.65,5.25,1.6,4.36,7,52.57,223.67,19.6,33
1/12/2014,2,0.66,2.5,12,8,0,1,1,2014,1,Sunday,11.76,12.21,11.24,10.94,12.22,11.85,14.61,5.35,1.6,3.55,5,56.47,218.67,19.6,45
1/13/2014,7.34,7.66,6.2,52,9,0,7,1,2014,1,Monday,8.98,8.85,9.54,9.6,8.28,9.62,11.45,4.22,1.6,2.47,16,49.14,216.67,19.6,69
1/14/2014,6,1.33,12.3,33.7,6,1,0,2,2014,1,Tuesday,12.59,12.51,12.6,13.22,11.98,11.71,15.96,6.22,1.6,9.19,6,52.22,209.33,19.6,31
1/15/2014,4,2.34,5,26.7,12,2,3,3,2014,1,Wednesday,10.05,9.6,9.54,9.43,10.13,10.29,11.78,4.98,1.6,3.01,8,51.04,203.33,19.6,49
1/16/2014,6,2,4.3,28.3,19,1,5,0,2014,1,Thursday,9.2,9.97,8.33,8.64,9.85,9.33,10.99,5.4,1.6,2.32,19,34.12,199.33,19.6,69
1/17/2014,2,3.68,8.3,20.4,15,0,6,3,2014,1,Friday,11.08,11.3,10.02,11.09,11.89,10.33,13.12,4.61,1.6,5.96,9,58.44,193.33,19.6,74
1/18/2014,1,5.33,5.8,43.2,15,4,7,2,2014,1,Saturday,10.99,9.98,11.09,10.93,10.84,10.89,13.2,5,1.6,3.31,15,51.34,191.33,19.6,74
1/19/2014,4.33,4,4,14.1,4,0,1,1,2014,1,Sunday,9,9.5,8.8,9.2,9.71,8.27,10.35,3.97,1.6,1.58,16,52.26,190.33,19.6,70
1/20/2014,6,3.34,3.3,11.9,18,2,12,3,2014,1,Monday,12.09,12.16,11.47,11.13,12.76,11.92,14.05,4.89,1.6,0.07,7,60.46,186,19.6,34
1/21/2014,2,3.34,4,42,15,2,0,1,2014,1,Tuesday,11.06,10.93,10.38,11.5,11.34,11.41,13.87,4.68,1.6,4.4,15,54.74,180,19.6,74
1/22/2014,7,3,7,18.1,10,0,5,2,2014,1,Wednesday,9.06,9.34,9.34,9.19,9.31,8.29,11.77,5.03,1.6,0.15,18,38.45,178,19.6,89
1/23/2014,4,4.67,5.2,26.2,2,3,1,3,2014,1,Thursday,12.67,11.74,13.63,12.34,13.6,13.86,14.77,6.9,1.6,1.68,11,44.37,171,19.6,36
1/24/2014,4.67,7.34,7,19.6,13,1,0,0,2014,1,Friday,10.11,9.27,10.1,10.2,10.86,9.74,12.9,5.96,1.6,0.49,17,35.43,167,19.6,86
1/25/2014,6,9,5,37.8,18,0,5,1,2014,1,Saturday,9.11,9.39,8.54,8.8,8.46,9.12,11.65,5.03,1.6,1.08,8,45.44,162.33,19.6,59
1/26/2014,4.33,1.68,0,24,4,0,0,0,2014,1,Sunday,13.09,13.75,12.89,12.96,13.03,14.2,16.14,7.73,1.6,7.14,12,39,156.33,19.6,76
1/27/2014,4.34,4.67,1.2,23.6,17,2,1,3,2014,1,Monday,8.77,9.23,9.28,8.3,9.19,8.09,10.98,4.53,1.6,3.75,13,46.03,152,19.6,56
1/28/2014,6,3.34,2.8,13.38,22,5,1,5,2014,1,Tuesday,11.53,12.56,11.08,11.87,10.38,11.46,13.46,4.92,1.6,0.3,9,57.37,147.66,19.6,37
1/29/2014,5.33,4,2,14,10,1,1,2,2014,1,Wednesday,12.71,12.07,13.26,12.95,12.48,11.65,16.38,5.54,1.6,0.9,10,55.97,141.66,19.6,75
1/30/2014,3.02,1.34,2.4,25.5,7,1,3,2,2014,1,Thursday,12.69,13.67,12.14,11.98,12.88,12.33,16.43,7.1,1.6,3.26,10,43.49,136.33,19.6,40
1/31/2014,1,2.68,7.1,26.9,9,0,1,0,2014,1,Friday,11.75,11.1,11.39,10.92,10.71,11.93,15.24,5.74,1.6,2.05,8,51.73,133.31,19.6,55
2/1/2014,4.33,4.32,5,43,13,1,14,0,2014,2,Saturday,7.95,7.49,7.63,8.51,7.47,7.77,9.4,3.64,1.1,1.24,16,50.45,132.31,19.6,55
2/2/2014,7,3,0.2,13.5,6,2,8,0,2014,2,Sunday,8.17,8.18,8.07,8.31,8.39,7.92,10.33,4.7,1.1,3.38,13,39.89,127.98,19.6,76
2/3/2014,5,1,8.5,32.4,16,1,1,0,2014,2,Monday,7.47,7.18,7.36,7.56,7.9,7.16,9.17,4.11,1.1,1.33,17,39.74,120.98,19.6,54
2/4/2014,1.33,3,7,30.6,8,1,17,2,2014,2,Tuesday,7.97,7.19,7.41,7.51,7.44,7.18,9.53,3.92,1.1,6.01,7,51.92,115.98,19.6,66
2/5/2014,3,4.02,6.2,32.4,15,1,1,1,2014,2,Wednesday,9.97,10.94,9.94,9.52,10.27,9.94,12.62,4.28,1.1,0.85,12,55.65,114.65,19.6,33
2/6/2014,3.33,6.68,3.5,41.4,17,2,5,2,2014,2,Thursday,9.41,9.94,9.57,9.38,9.48,9.68,11.21,5.16,1.1,4.13,13,42.7,111.65,19.6,57
2/7/2014,2.66,8.67,11.7,21.4,19,1,0,0,2014,2,Friday,8.19,8.5,7.95,8.47,8.07,7.8,10.29,3.32,1.1,4.52,15,56.64,108.32,19.6,50
2/8/2014,3.33,3.35,14.4,37.1,13,1,1,1,2014,2,Saturday,6.31,6.73,5.93,6.84,6.12,6.31,7.28,3.1,1.1,1.59,18,45.53,105.66,19.6,59
2/9/2014,4,3,2,31.5,10,0,6,0,2014,2,Sunday,8.38,8.76,7.75,8.97,7.55,9.1,10.06,4.16,1.1,4.53,18,44.96,102.33,19.6,42
2/10/2014,5,10.33,8.5,40.1,20,3,3,1,2014,2,Monday,9.32,8.59,9.15,8.72,10.05,8.51,11.14,4.54,1.1,1.39,7,52.38,98.33,19.6,69
2/11/2014,10,6.99,13.3,44.6,20,2,6,2.2,2014,2,Tuesday,8.97,8.51,9.43,8.98,9.05,8.09,10.95,4.86,1.1,4.39,6,47.6,93.33,19.6,55
2/12/2014,9,1.67,9.1,73.6,9,0,5,0,2014,2,Wednesday,7.14,7.43,7.63,6.57,7.55,7.05,8.62,4.26,1.1,10.68,18,33.85,83.33,19.6,44
2/13/2014,4.33,3.67,10,49.1,13,3,0,1,2014,2,Thursday,7.57,7,7.55,8.09,8.27,8.13,9.78,3.94,1.1,10.29,18,42.3,74.33,19.6,55
2/14/2014,4,4.01,3.2,42.3,13,4,0,6,2014,2,Friday,8.09,7.51,7.47,8.45,8.67,7.35,9.65,4.33,1.1,4.65,18,40.66,70,19.6,59
2/15/2014,1,2.34,2,37,9,0,1,5,2014,2,Saturday,9.84,10.08,9.17,9.84,10.28,9.78,11.64,4.5,1.1,2.65,19,48.67,66,19.6,38
2/16/2014,0,1.68,1.2,34,5,2,3,1,2014,2,Sunday,9.28,8.57,9.12,9.79,8.57,9.92,11.09,4.32,1.1,0.8,8,54,65,19.6,72
2/17/2014,7.34,4,12.7,27,13,1,7,0,2014,2,Monday,6.25,5.65,6.55,6.07,6.34,6.25,8.07,2.74,1.1,1.79,6,57.6,65,19.6,70
2/18/2014,7.34,7.36,6.1,45,14,0,13,5,2014,2,Tuesday,7.39,7.36,7.42,7.83,7.85,7.53,9,3.09,1.1,5.35,14,55.8,57.66,19.6,34
2/19/2014,3.33,5.02,5.5,66.8,17,1,6,1,2014,2,Wednesday,6.35,6.61,5.87,6.03,6.67,6.78,8.02,2.97,1.1,1.61,19,47.51,50.32,19.6,49
2/20/2014,7,7.02,3.2,21.5,16,3,8,1,2014,2,Thursday,8.01,8.31,8.18,8.36,7.95,8.11,9.68,4.52,1.1,3.97,11,42.36,46.99,19.6,73
